标题,价格,面积,区域,链接
整租·龙柏井亭公寓 2室1厅 南,8000 元/月,80.00㎡,闵行-龙柏-龙柏井亭公寓,https://sh.lianjia.com/zufang/SH1948955707353071616.html
整租·绿岛阳光苑 4室3厅 南/北,8000 元/月,270.76㎡,崇明-崇明新城-绿岛阳光苑,https://sh.lianjia.com/zufang/SH1955938183006912512.html
整租·岭南苑(凌兆路127弄) 2室2厅 南,5800 元/月,91.00㎡,浦东-三林-岭南苑(凌兆路127弄),https://sh.lianjia.com/zufang/SH1955563303581253632.html
整租·新城金郡（商住） 2室1厅 南,3500 元/月,53.52㎡,嘉定-嘉定新城-新城金郡（商住）,https://sh.lianjia.com/zufang/SH1951637269269970944.html
整租·民东公寓 2室2厅 南,4600 元/月,88.91㎡,嘉定-南翔-民东公寓,https://sh.lianjia.com/zufang/SH1955832417763721216.html
整租·曹杨二村(北杨园) 1室1厅 南,4100 元/月,27.61㎡,普陀-曹杨-曹杨二村(北杨园),https://sh.lianjia.com/zufang/SH1955146632169259008.html
整租·文兰小区 1室1厅 南,5100 元/月,35.79㎡,浦东-塘桥-文兰小区,https://sh.lianjia.com/zufang/SH1947556656330047488.html
整租·紫薇茗庭 1室1厅 南,2700 元/月,50.88㎡,松江-泗泾-紫薇茗庭,https://sh.lianjia.com/zufang/SH1954868673499889664.html
整租·华欣家园 2室1厅 南,5000 元/月,61.00㎡,徐汇-华泾-华欣家园,https://sh.lianjia.com/zufang/SH1952636547035561984.html
整租·科锦苑 3室2厅 南,7800 元/月,100.00㎡,浦东-张江-科锦苑,https://sh.lianjia.com/zufang/SH1955862707659866112.html
整租·新城枫景 3室2厅 南,4300 元/月,124.39㎡,嘉定-菊园新区-新城枫景,https://sh.lianjia.com/zufang/SH1954544907376918528.html
整租·新城尚景 2室1厅 南/北,4800 元/月,72.49㎡,宝山-淞南-新城尚景,https://sh.lianjia.com/zufang/SH1955600354896773120.html
整租·阳光苑民耀路97弄 2室1厅 南,4500 元/月,77.24㎡,浦东-曹路-阳光苑民耀路97弄,https://sh.lianjia.com/zufang/SH1953399437371899904.html
整租·金平小区 1室1厅 南,3200 元/月,49.18㎡,闵行-老闵行-金平小区,https://sh.lianjia.com/zufang/SH1955849483535253504.html
整租·悦华公寓 5室2厅 南,5000 元/月,128.54㎡,嘉定-嘉定老城-悦华公寓,https://sh.lianjia.com/zufang/SH1932792506420822016.html
整租·瑞和新苑江航路60弄 2室2厅 南/北,3900 元/月,73.85㎡,闵行-闵浦-瑞和新苑江航路60弄,https://sh.lianjia.com/zufang/SH1939264785589731328.html
整租·嘉宝梦之湾 2室1厅 南/北,2400 元/月,89.62㎡,嘉定-菊园新区-嘉宝梦之湾,https://sh.lianjia.com/zufang/SH1905163549844439040.html
整租·好日子大家园D区 2室1厅 南/北,3600 元/月,53.97㎡,宝山-顾村-好日子大家园D区,https://sh.lianjia.com/zufang/SH1953403373495517184.html
整租·璟雲里(绿湖路) 2室1厅 南,3500 元/月,76.22㎡,青浦-朱家角-璟雲里(绿湖路),https://sh.lianjia.com/zufang/SH1954451207086931968.html
整租·中建锦绣天地二期 3室2厅 南/北,6500 元/月,87.37㎡,青浦-徐泾-中建锦绣天地二期,https://sh.lianjia.com/zufang/SH1955840656098197504.html
整租·万科湖语森林二期 3室2厅 南,8000 元/月,113.68㎡,嘉定-安亭-万科湖语森林二期,https://sh.lianjia.com/zufang/SH1954082983627456512.html
整租·洛川中路1100弄 2室1厅 南,3900 元/月,47.63㎡,静安-大宁-洛川中路1100弄,https://sh.lianjia.com/zufang/SH1949030951463944192.html
整租·金玉苑（二期） 2室1厅 南/北,7000 元/月,89.44㎡,普陀-长风-金玉苑（二期）,https://sh.lianjia.com/zufang/SH1955265046707699712.html
整租·葛洲坝虹桥紫郡公馆 3室2厅 南,16500 元/月,131.91㎡,青浦-徐泾-葛洲坝虹桥紫郡公馆,https://sh.lianjia.com/zufang/SH1951481327198928896.html
整租·巨鹿路374弄 1室1厅 南,6300 元/月,30.87㎡,黄浦-淮海中路-巨鹿路374弄,https://sh.lianjia.com/zufang/SH1932348309507145728.html
整租·西湖苑 2室1厅 南,3200 元/月,32.64㎡,闵行-莘庄北广场-西湖苑,https://sh.lianjia.com/zufang/SH1955139435641176064.html
整租·延吉六村 2室1厅 南,5800 元/月,69.82㎡,杨浦-黄兴公园-延吉六村,https://sh.lianjia.com/zufang/SH1931917875287687168.html
整租·盘古路927弄 2室1厅 南,2500 元/月,51.09㎡,宝山-杨行-盘古路927弄,https://sh.lianjia.com/zufang/SH1953417083232452608.html
整租·桃浦五村杜鹃苑 2室1厅 南,4300 元/月,63.68㎡,普陀-桃浦-桃浦五村杜鹃苑,https://sh.lianjia.com/zufang/SH1952703407231860736.html
整租·浦江宝邸 3室2厅 南/北,6000 元/月,131.29㎡,闵行-闵浦-浦江宝邸,https://sh.lianjia.com/zufang/SH1955266459026325504.html
整租·路劲翡丽湾(公寓) 3室2厅 南,6200 元/月,109.30㎡,嘉定-南翔-路劲翡丽湾(公寓),https://sh.lianjia.com/zufang/SH1912099054137901056.html
整租·丰锦里 2室1厅 南,3400 元/月,56.00㎡,浦东-三林-丰锦里,https://sh.lianjia.com/zufang/SH1954518828704595968.html
整租·三林世博家园(东书房路560弄) 2室1厅 南/北,5800 元/月,73.20㎡,浦东-杨思前滩-三林世博家园(东书房路560弄),https://sh.lianjia.com/zufang/SH1955478259667828736.html
整租·宁康小区 1室0厅 东,4800 元/月,30.91㎡,长宁-中山公园-宁康小区,https://sh.lianjia.com/zufang/SH1943315386690699264.html
整租·嘉隆国际广场 2室1厅 南,2500 元/月,48.90㎡,嘉定-徐行-嘉隆国际广场,https://sh.lianjia.com/zufang/SH1954770431047106560.html
整租·翔和雅苑1437弄 2室1厅 南,4300 元/月,71.66㎡,嘉定-南翔-翔和雅苑1437弄,https://sh.lianjia.com/zufang/SH1949369605445124096.html
整租·虹田苑 2室2厅 南,11500 元/月,98.32㎡,闵行-金虹桥-虹田苑,https://sh.lianjia.com/zufang/SH1921193841474404352.html
整租·三门路358弄 1室1厅 南/北,5000 元/月,44.00㎡,杨浦-五角场-三门路358弄,https://sh.lianjia.com/zufang/SH1954803639100899328.html
整租·宝菊新家园 3室2厅 南/北,2800 元/月,126.00㎡,嘉定-菊园新区-宝菊新家园,https://sh.lianjia.com/zufang/SH1944335984241934336.html
整租·桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 南,4000 元/月,50.50㎡,普陀-桃浦-桃浦十村（紫藤苑小区白丽路701弄）,https://sh.lianjia.com/zufang/SH1871846597843746816.html
整租·裕鸿佳苑(安润路681弄) 2室2厅 南,1600 元/月,86.89㎡,崇明-陈家镇-裕鸿佳苑(安润路681弄),https://sh.lianjia.com/zufang/SH1871774535154401280.html
整租·乐安坊 1室0厅 南,6250 元/月,45.00㎡,黄浦-淮海中路-乐安坊,https://sh.lianjia.com/zufang/SH1871946859241537536.html
整租·新闸路272-280号 1室1厅 北,4500 元/月,32.79㎡,黄浦-人民广场-新闸路272-280号,https://sh.lianjia.com/zufang/SH1871862381819199488.html
整租·尚东国际名园（一期） 3室2厅 南,15000 元/月,142.24㎡,浦东-杨思前滩-尚东国际名园（一期）,https://sh.lianjia.com/zufang/SH1871890019837280256.html
整租·嘉隆国际广场 2室1厅 南,2500 元/月,48.90㎡,嘉定-徐行-嘉隆国际广场,https://sh.lianjia.com/zufang/SH1954770431047106560.html
整租·三门路358弄 1室1厅 南/北,5000 元/月,44.00㎡,杨浦-五角场-三门路358弄,https://sh.lianjia.com/zufang/SH1954803639100899328.html
整租·宝菊新家园 3室2厅 南/北,2800 元/月,126.00㎡,嘉定-菊园新区-宝菊新家园,https://sh.lianjia.com/zufang/SH1944335984241934336.html
整租·东城新村 1室1厅 南,5300 元/月,50.08㎡,浦东-杨东-东城新村,https://sh.lianjia.com/zufang/SH1955609588359233536.html
整租·航华二村嘉丰公寓 2室1厅 南,6200 元/月,77.00㎡,闵行-航华-航华二村嘉丰公寓,https://sh.lianjia.com/zufang/SH1955873018651607040.html
整租·东方丽景 3室2厅 南,8600 元/月,117.09㎡,浦东-金桥-东方丽景,https://sh.lianjia.com/zufang/SH1814303135175278592.html
整租·逸仙一村 1室1厅 南,3700 元/月,40.29㎡,宝山-高境-逸仙一村,https://sh.lianjia.com/zufang/SH1814596220815933440.html
整租·南花苑 3室2厅 南,13500 元/月,99.73㎡,黄浦-董家渡-南花苑,https://sh.lianjia.com/zufang/SH1814640162823471104.html
整租·中洲珑悦 4室2厅 南,4000 元/月,160.40㎡,浦东-惠南-中洲珑悦,https://sh.lianjia.com/zufang/SH1817067168861257728.html
整租·塘和家园兰花清苑(新凯四期) 2室1厅 南,4000 元/月,71.33㎡,松江-泗泾-塘和家园兰花清苑(新凯四期),https://sh.lianjia.com/zufang/SH1817070520416337920.html
整租·华润置地橡树湾 4室2厅 南,32000 元/月,258.00㎡,杨浦-新江湾城-华润置地橡树湾,https://sh.lianjia.com/zufang/SH1816791575561240576.html
整租·柳营路1025弄 2室1厅 南/北,4600 元/月,54.94㎡,静安-大宁-柳营路1025弄,https://sh.lianjia.com/zufang/SH1816714508681347072.html
整租·敦昌别墅 5室3厅 南,14200 元/月,218.40㎡,青浦-徐泾-敦昌别墅,https://sh.lianjia.com/zufang/SH1816801058593177600.html
整租·公安大楼(徐汇) 2室0厅 南/西/北,10500 元/月,60.52㎡,徐汇-衡山路-公安大楼(徐汇),https://sh.lianjia.com/zufang/SH1817125781147484160.html
整租·嘉宝梦之缘景庭 2室2厅 南,4350 元/月,78.00㎡,嘉定-嘉定新城-嘉宝梦之缘景庭,https://sh.lianjia.com/zufang/SH1817568224196165632.html
整租·天山星城 1室1厅 南,9000 元/月,51.36㎡,长宁-天山-天山星城,https://sh.lianjia.com/zufang/SH1818154165302460416.html
整租·象屿名城 2室2厅 南,6500 元/月,92.17㎡,松江-九亭-象屿名城,https://sh.lianjia.com/zufang/SH1804069295127265280.html
整租·凤凰大厦 2室2厅 南,14500 元/月,142.60㎡,浦东-碧云-凤凰大厦,https://sh.lianjia.com/zufang/SH1803738572746915840.html
整租·圣鑫苑 3室2厅 南/北,5400 元/月,130.88㎡,浦东-周浦-圣鑫苑,https://sh.lianjia.com/zufang/SH1804126280984035328.html
整租·9号公馆 3室2厅 南,7000 元/月,98.75㎡,松江-泗泾-9号公馆,https://sh.lianjia.com/zufang/SH1804364100566777856.html
整租·金辉兰湖美域 3室2厅 南,3000 元/月,131.88㎡,宝山-罗店-金辉兰湖美域,https://sh.lianjia.com/zufang/SH1804727140868947968.html
整租·晶珑俪榭 2室2厅 南/北,2050 元/月,61.26㎡,金山-金山新城-晶珑俪榭,https://sh.lianjia.com/zufang/SH1804837601526415360.html
整租·东悦盈庭 2室1厅 南,4500 元/月,80.00㎡,浦东-高行-东悦盈庭,https://sh.lianjia.com/zufang/SH1955488778927734784.html
整租·金桥湾清水苑 2室2厅 南,5700 元/月,124.00㎡,浦东-金桥-金桥湾清水苑,https://sh.lianjia.com/zufang/SH1953764839767670784.html
整租·氯碱小区 1室1厅 南,1600 元/月,38.94㎡,闵行-吴泾-氯碱小区,https://sh.lianjia.com/zufang/SH1954558637384925184.html
整租·招商主城 3室2厅 南/北,3500 元/月,109.00㎡,宝山-罗店-招商主城,https://sh.lianjia.com/zufang/SH1951110665770893312.html
整租·中山北路2185弄 2室1厅 南,3700 元/月,42.66㎡,普陀-光新-中山北路2185弄,https://sh.lianjia.com/zufang/SH1955931725867515904.html
整租·春申景城湖畔林语 3室2厅 南,9500 元/月,129.81㎡,闵行-春申-春申景城湖畔林语,https://sh.lianjia.com/zufang/SH1954030838253355008.html
整租·和平花苑一期 2室2厅 南/西北,10000 元/月,122.54㎡,杨浦-鞍山-和平花苑一期,https://sh.lianjia.com/zufang/SH1954430946128166912.html
整租·鼎隆公寓 2室2厅 南,8500 元/月,95.00㎡,杨浦-周家嘴路-鼎隆公寓,https://sh.lianjia.com/zufang/SH1955884125927768064.html
整租·宝菊清水园 1室1厅 南,3290 元/月,嘉定-菊园新区-宝菊清水园,精选,https://sh.lianjia.com/zufang/SH1901979031469817856.html
整租·古美西路420弄 2室1厅 南,5790 元/月,闵行-古美-古美西路420弄,精选,https://sh.lianjia.com/zufang/SH1901575418926858240.html
整租·万泰花园 2室1厅 南,5830 元/月,闵行-七宝-万泰花园,精选,https://sh.lianjia.com/zufang/SH1902276572124020736.html
整租·虹桥小区 2室0厅 南/北,6400 元/月,51.15㎡,长宁-虹桥-虹桥小区,https://sh.lianjia.com/zufang/SH1818250600068939776.html
整租·泰德苑 3室2厅 南,15500 元/月,122.49㎡,徐汇-徐家汇-泰德苑,https://sh.lianjia.com/zufang/SH1819587578551074816.html
整租·颐亭花园(别墅) 5室2厅 复式 南,16000 元/月,228.70㎡,松江-九亭-颐亭花园(别墅),https://sh.lianjia.com/zufang/SH1820745165875183616.html
整租·剑河路896弄 2室1厅 南,10690 元/月,长宁-西郊-剑河路896弄,精选,https://sh.lianjia.com/zufang/SH1902516882083151872.html
整租·中关村公寓 2室2厅 南,11500 元/月,103.06㎡,普陀-真如-中关村公寓,https://sh.lianjia.com/zufang/SH1821141187747119104.html
整租·禹洲天境璞悦 4室2厅 南,2500 元/月,128.56㎡,奉贤-奉贤金汇-禹洲天境璞悦,https://sh.lianjia.com/zufang/SH1821374447387410432.html
整租·岚皋馨苑 1室1厅 南,5000 元/月,54.57㎡,普陀-真如-岚皋馨苑,https://sh.lianjia.com/zufang/SH1821772599273717760.html
整租·龙湖新壹城 2室1厅 南,4500 元/月,43.55㎡,松江-松江大学城-龙湖新壹城,https://sh.lianjia.com/zufang/SH1821849034298490880.html
整租·良丰大厦 1室1厅 南,11500 元/月,97.22㎡,浦东-梅园-良丰大厦,https://sh.lianjia.com/zufang/SH1821841757478846464.html
整租·品尊国际 3室2厅 南/北,14000 元/月,125.71㎡,普陀-真如-品尊国际,https://sh.lianjia.com/zufang/SH1821910377147924480.html
整租·虹鹿二公寓 4室2厅 南,14500 元/月,152.89㎡,闵行-金虹桥-虹鹿二公寓,https://sh.lianjia.com/zufang/SH1843237560202035200.html
整租·共康六村 1室1厅 南,3715 元/月,宝山-共康-共康六村,精选,https://sh.lianjia.com/zufang/SH1902444538450935808.html
整租·金色碧云 2室2厅 南,9500 元/月,96.91㎡,浦东-碧云-金色碧云,https://sh.lianjia.com/zufang/SH1841838468762697728.html
整租·玉兰四村 3室2厅 南,2999 元/月,119.00㎡,嘉定-安亭-玉兰四村,https://sh.lianjia.com/zufang/SH1841792162878980096.html
整租·陆家嘴中央公寓 2室1厅 南,10500 元/月,90.00㎡,浦东-杨东-陆家嘴中央公寓,https://sh.lianjia.com/zufang/SH1841807178499883008.html
整租·崧泽华城佳福雅苑（五区） 2室1厅 南,3790 元/月,青浦-赵巷-崧泽华城佳福雅苑（五区）,精选,https://sh.lianjia.com/zufang/SH1883526433515503616.html
整租·锦绣满堂南区 3室1厅 南,10860 元/月,浦东-杨东-锦绣满堂南区,精选,https://sh.lianjia.com/zufang/SH1883526278280118272.html
整租·岚皋西路95弄 1室1厅 北,3730 元/月,31.31㎡,普陀-真如-岚皋西路95弄,https://sh.lianjia.com/zufang/SH1901646566511345664.html
