标题,价格,面积,区域,链接
整租·星悦北恒紫云 3室2厅 东南,2500 元/月,149.66㎡,渝北-礼嘉-星悦北恒紫云,https://cq.lianjia.com/zufang/CQ1954753961953067008.html
整租·贝蒙·松藻中心 1室0厅 南,1299 元/月,34.93㎡,南岸-南坪-贝蒙·松藻中心,https://cq.lianjia.com/zufang/CQ1843605019299938304.html
整租·创客公寓 2室1厅 南,1600 元/月,79.68㎡,渝北-中央公园-创客公寓,https://cq.lianjia.com/zufang/CQ1931646745574375424.html
整租·华熙LIVE023 2室1厅 南,1248 元/月,30.86㎡,巴南-鱼洞-华熙LIVE023,https://cq.lianjia.com/zufang/CQ1822834956330598400.html
整租·恒大同景国际城 3室1厅 东南,2300 元/月,113.00㎡,南岸-茶园新区-恒大同景国际城,https://cq.lianjia.com/zufang/CQ1939911593022193664.html
整租·龙湖新壹城 1室1厅 东,1548 元/月,26.82㎡,九龙坡-石桥铺-龙湖新壹城,https://cq.lianjia.com/zufang/CQ1822971368942075904.html
整租·鹅岭山庄 3室1厅 南/北,2800 元/月,102.00㎡,渝中-两路口-鹅岭山庄,https://cq.lianjia.com/zufang/CQ1955190833414144000.html
整租·华宇时代星空 1室1厅 东南,1549 元/月,37.33㎡,九龙坡-大坪-华宇时代星空,https://cq.lianjia.com/zufang/CQ1822845840872439808.html
整租·鹅岭山庄 3室1厅 南/北,2800 元/月,102.00㎡,渝中-两路口-鹅岭山庄,https://cq.lianjia.com/zufang/CQ1955190833414144000.html
合租·万友康年 3居室,850 元/月,渝中-大坪-万友康年,精选,https://cq.lianjia.com/zufang/CQ1821786295257530368.html
整租·恒大未来城一期 2室1厅 南,1350 元/月,67.00㎡,沙坪坝-大学城-恒大未来城一期,https://cq.lianjia.com/zufang/CQ1939986688029753344.html
合租·天骄俊园 4居室 南卧,510 元/月,10.00㎡,渝北-黄泥磅-天骄俊园,https://cq.lianjia.com/zufang/CQ1836968626943426560.html
整租·恒大同景国际城 3室2厅 东南,1600 元/月,94.00㎡,南岸-茶园新区-恒大同景国际城,https://cq.lianjia.com/zufang/CQ1909103475157893120.html
整租·重庆天地万科翡翠云阶 1室0厅 南,1499 元/月,41.12㎡,渝中-化龙桥-重庆天地万科翡翠云阶,https://cq.lianjia.com/zufang/CQ1846391877041913856.html
整租·汇祥好莱坞 2室2厅 南,1200 元/月,69.00㎡,渝北-中央公园东区-汇祥好莱坞,https://cq.lianjia.com/zufang/CQ1955543579317239808.html
整租·中梁百悦汇 1室0厅 南,1048 元/月,32.93㎡,南岸-七公里-中梁百悦汇,https://cq.lianjia.com/zufang/CQ1822174488469438464.html
整租·晏家七期 4室1厅 南,900 元/月,108.00㎡,长寿-晏家片区-晏家七期,https://cq.lianjia.com/zufang/CQ1917458503543291904.html
整租·保利时代广场 1室0厅 南,1198 元/月,34.94㎡,九龙坡-杨家坪-保利时代广场,https://cq.lianjia.com/zufang/CQ1822835688991621120.html
整租·和记黄埔珊瑚水岸二期 5室2厅 东南,4800 元/月,201.00㎡,南岸-南滨路-和记黄埔珊瑚水岸二期,https://cq.lianjia.com/zufang/CQ1952924014615724032.html
整租·汇祥荟广场 1室0厅 东南,1048 元/月,26.59㎡,九龙坡-石桥铺-汇祥荟广场,https://cq.lianjia.com/zufang/CQ1823272550491226112.html
整租·斌鑫云景天城 2室1厅 北,1350 元/月,57.00㎡,沙坪坝-站西路-斌鑫云景天城,https://cq.lianjia.com/zufang/CQ1955846115643359232.html
整租·汇祥荟广场 1室0厅 东,998 元/月,26.59㎡,九龙坡-石桥铺-汇祥荟广场,https://cq.lianjia.com/zufang/CQ1823207543359406080.html
整租·兴亚沙滨国际 3室2厅 东北,2500 元/月,95.00㎡,沙坪坝-沙滨路-兴亚沙滨国际,https://cq.lianjia.com/zufang/CQ1952278516443643904.html
整租·华融现代城 2室2厅 南,1500 元/月,73.00㎡,江北-海尔路-华融现代城,https://cq.lianjia.com/zufang/CQ1955915947172691968.html
整租·恒大同景国际城 3室2厅 东南,1800 元/月,106.62㎡,南岸-茶园新区-恒大同景国际城,https://cq.lianjia.com/zufang/CQ1875766943823167488.html
整租·商社又壹城 1室0厅 南,1599 元/月,38.89㎡,渝北-龙头寺-商社又壹城,https://cq.lianjia.com/zufang/CQ1823295194410254336.html
整租·中梁百悦汇 1室0厅 南,1100 元/月,33.58㎡,南岸-七公里-中梁百悦汇,https://cq.lianjia.com/zufang/CQ1954398044963209216.html
整租·骏逸新视界 1室1厅 南,1300 元/月,51.29㎡,九龙坡-石坪桥-骏逸新视界,https://cq.lianjia.com/zufang/CQ1955846010810925056.html
整租·万科翡翠都会 3室2厅 东南,7500 元/月,130.00㎡,渝中-大溪沟-万科翡翠都会,https://cq.lianjia.com/zufang/CQ1955857909833269248.html
整租·商社又壹城 1室0厅 南,1448 元/月,38.81㎡,渝北-龙头寺-商社又壹城,https://cq.lianjia.com/zufang/CQ1822860285057171456.html
整租·长江一路 3室1厅 南,2000 元/月,87.00㎡,渝中-两路口-长江一路,https://cq.lianjia.com/zufang/CQ1844004325118967808.html
整租·华宇时代星空 1室0厅 东南,1350 元/月,33.01㎡,九龙坡-大坪-华宇时代星空,https://cq.lianjia.com/zufang/CQ1822845928973795328.html
整租·安泰城市理想 2室1厅 东南,2200 元/月,74.00㎡,渝北-冉家坝-安泰城市理想,https://cq.lianjia.com/zufang/CQ1955241234071027712.html
整租·贝蒙·松藻中心 1室0厅 南,1299 元/月,35.54㎡,南岸-南坪-贝蒙·松藻中心,https://cq.lianjia.com/zufang/CQ1824296373428682752.html
整租·金色年华 3室1厅 南,1700 元/月,105.87㎡,江北-南桥寺-金色年华,https://cq.lianjia.com/zufang/CQ1946792130018017280.html
整租·中粮鸿云 1室0厅 东,1148 元/月,35.96㎡,九龙坡-蟠龙-中粮鸿云,https://cq.lianjia.com/zufang/CQ1824035525074354176.html
整租·邦兴北都 2室2厅 南,4200 元/月,95.00㎡,江北-观音桥-邦兴北都,https://cq.lianjia.com/zufang/CQ1922554400493010944.html
整租·汇祥荟广场 1室0厅 南,998 元/月,26.59㎡,九龙坡-石桥铺-汇祥荟广场,https://cq.lianjia.com/zufang/CQ1826458792875786240.html
整租·三设计院家属院 3室2厅 南,2400 元/月,113.97㎡,九龙坡-石桥铺-三设计院家属院,https://cq.lianjia.com/zufang/CQ1942431807261638656.html
合租·洋河大厦 5居室 南卧,650 元/月,江北-观音桥-洋河大厦,精选,https://cq.lianjia.com/zufang/CQ1784439015060013056.html
整租·知联大厦 3室2厅 西南,3900 元/月,147.00㎡,沙坪坝-沙正街-知联大厦,https://cq.lianjia.com/zufang/CQ1949818389379678208.html
合租·同景国际城W组团 3居室 东南卧,699 元/月,南岸-茶园新区-同景国际城W组团,精选,https://cq.lianjia.com/zufang/CQ1736249766964101120.html
整租·融创云湖十里C区 1室1厅 南,950 元/月,40.00㎡,璧山-璧山-融创云湖十里C区,https://cq.lianjia.com/zufang/CQ1947232539349352448.html
合租·星城汇 4居室 南卧,550 元/月,渝北-龙头寺-星城汇,精选,https://cq.lianjia.com/zufang/CQ1749723942924320768.html
整租·万科御澜道 3室2厅 西北,2800 元/月,126.00㎡,江北-江北嘴-万科御澜道,https://cq.lianjia.com/zufang/CQ1955846047590776832.html
合租·瑞骏景园 4居室 南卧,720 元/月,渝北-鸳鸯-瑞骏景园,精选,https://cq.lianjia.com/zufang/CQ1786717440172883968.html
整租·正昇自由康都 1室0厅 东南/南,2100 元/月,48.00㎡,沙坪坝-三峡广场-正昇自由康都,https://cq.lianjia.com/zufang/CQ1927586175950782464.html
合租·叠彩城 5居室 南卧,850 元/月,渝北-汽博中心-叠彩城,精选,https://cq.lianjia.com/zufang/CQ1788788487613317120.html
整租·南方苹果派二期 3室2厅 东,1700 元/月,90.00㎡,沙坪坝-石桥铺-南方苹果派二期,https://cq.lianjia.com/zufang/CQ1945698567536508928.html
合租·奥林匹克花园新亚洲 5居室,750 元/月,渝北-汽博中心-奥林匹克花园新亚洲,精选,https://cq.lianjia.com/zufang/CQ1744578008850628608.html
整租·金辉优步大道 4室2厅 东南,3200 元/月,97.00㎡,九龙坡-石桥铺-金辉优步大道,https://cq.lianjia.com/zufang/CQ1944707882729603072.html
合租·怡和小区 4居室 南卧,750 元/月,渝北-人和-怡和小区,精选,https://cq.lianjia.com/zufang/CQ1745091666928205824.html
整租·华润二十四城嘉悦府 1室0厅 南,2200 元/月,56.00㎡,九龙坡-谢家湾-华润二十四城嘉悦府,https://cq.lianjia.com/zufang/CQ1938975883104616448.html
整租·公园大道箐澜二组团 3室2厅 南,2300 元/月,91.00㎡,渝北-中央公园-公园大道箐澜二组团,https://cq.lianjia.com/zufang/CQ1950788826502791168.html
整租·曼哈顿二期半山壹号 3室2厅 东,1400 元/月,110.00㎡,巴南-李家沱-曼哈顿二期半山壹号,https://cq.lianjia.com/zufang/CQ1949342709479112704.html
合租·奥林匹克花园新亚洲 5居室 南卧,820 元/月,渝北-汽博中心-奥林匹克花园新亚洲,精选,https://cq.lianjia.com/zufang/CQ1751187419966734336.html
整租·丁香水榭 3室2厅 南,1800 元/月,103.00㎡,渝北-空港新城-丁香水榭,https://cq.lianjia.com/zufang/CQ1947614674342117376.html
整租·龙泉村 3室1厅 东南,1000 元/月,91.00㎡,大渡口-马王乡-龙泉村,https://cq.lianjia.com/zufang/CQ1715307387398651904.html
整租·约克郡禧悦 3室2厅 东,5800 元/月,122.00㎡,渝北-照母山-约克郡禧悦,https://cq.lianjia.com/zufang/CQ1955232984827166720.html
合租·同舟世纪苑 4居室 南卧,700 元/月,渝北-人和-同舟世纪苑,精选,https://cq.lianjia.com/zufang/CQ1752269670813007872.html
整租·鹏润悦秀城 1室0厅 东,1150 元/月,35.00㎡,九龙坡-石桥铺-鹏润悦秀城,https://cq.lianjia.com/zufang/CQ1953007252981940224.html
合租·建工锦绣华城 4居室 南卧,950 元/月,渝北-汽博中心-建工锦绣华城,精选,https://cq.lianjia.com/zufang/CQ1760229620768047104.html
整租·中渝香奈公馆 3室2厅 北,4800 元/月,109.00㎡,渝北-新牌坊-中渝香奈公馆,https://cq.lianjia.com/zufang/CQ1939653753212764160.html
合租·隆鑫爱琴海三期 3居室 南卧,600 元/月,北碚-蔡家-隆鑫爱琴海三期,精选,https://cq.lianjia.com/zufang/CQ1856302108848947200.html
整租·双福时代广场揽山 2室2厅 南,1000 元/月,60.00㎡,江津-双福新区-双福时代广场揽山,https://cq.lianjia.com/zufang/CQ1922983675989852160.html
合租·青青佳苑南苑 5居室 南卧,830 元/月,南岸-南坪-青青佳苑南苑,精选,https://cq.lianjia.com/zufang/CQ1731260385874411520.html
整租·西著七里三组团 1室1厅 南,1300 元/月,33.91㎡,沙坪坝-西永-西著七里三组团,https://cq.lianjia.com/zufang/CQ1941108526680113152.html
合租·中海紫御江山御湾 4居室 南卧,865 元/月,江北-江北嘴-中海紫御江山御湾,精选,https://cq.lianjia.com/zufang/CQ2738411097450627072.html
整租·和润家园二期 2室1厅 东南,1500 元/月,66.00㎡,北碚-水土-和润家园二期,https://cq.lianjia.com/zufang/CQ1927929811003506688.html
合租·隆鑫爱琴海三期 3居室 南卧,600 元/月,北碚-蔡家-隆鑫爱琴海三期,精选,https://cq.lianjia.com/zufang/CQ1856302108848947200.html
整租·西著七里三组团 1室1厅 南,1300 元/月,33.91㎡,沙坪坝-西永-西著七里三组团,https://cq.lianjia.com/zufang/CQ1941108526680113152.html
合租·青青佳苑南苑 5居室 南卧,830 元/月,南岸-南坪-青青佳苑南苑,精选,https://cq.lianjia.com/zufang/CQ1731260385874411520.html
整租·融科海阔天空 3室2厅 东南,2300 元/月,99.64㎡,渝北-鸳鸯-融科海阔天空,https://cq.lianjia.com/zufang/CQ1942078873051070464.html
合租·中海紫御江山御湾 4居室 南卧,865 元/月,江北-江北嘴-中海紫御江山御湾,精选,https://cq.lianjia.com/zufang/CQ2738411097450627072.html
整租·万达广场锋邸 2室1厅 东,2500 元/月,84.33㎡,南岸-南坪-万达广场锋邸,https://cq.lianjia.com/zufang/CQ1950856002144305152.html
合租·中渝爱都会 3居室 南卧,895 元/月,渝北-龙头寺-中渝爱都会,精选,https://cq.lianjia.com/zufang/CQ1870705158451625984.html
整租·万科金域华庭 3室2厅 东,2500 元/月,101.00㎡,沙坪坝-磁器口-万科金域华庭,https://cq.lianjia.com/zufang/CQ1909838340669046784.html
合租·首创鸿恩国际生活区 5居室 南卧,545 元/月,江北-大石坝-首创鸿恩国际生活区,精选,https://cq.lianjia.com/zufang/CQ1863246141353623552.html
整租·升伟新时空 2室1厅 东南,1400 元/月,52.00㎡,沙坪坝-凤天路-升伟新时空,https://cq.lianjia.com/zufang/CQ1952657496397053952.html
合租·海龙居 5居室 跃层 东卧,700 元/月,渝北-龙头寺-海龙居,精选,https://cq.lianjia.com/zufang/CQ1844426216229044224.html
整租·兴茂晶蓝公馆 3室1厅 南,1650 元/月,87.00㎡,沙坪坝-石桥铺-兴茂晶蓝公馆,https://cq.lianjia.com/zufang/CQ1938503829783838720.html
合租·重庆法苑小区 5居室 南卧,745 元/月,渝北-黄泥磅-重庆法苑小区,精选,https://cq.lianjia.com/zufang/CQ1884912579529146368.html
整租·贝迪新城三期 3室2厅 东南,2500 元/月,96.00㎡,南岸-南坪-贝迪新城三期,https://cq.lianjia.com/zufang/CQ1918218683298086912.html
整租·春语江山 4室2厅 东南,3000 元/月,115.00㎡,渝中-大坪-春语江山,https://cq.lianjia.com/zufang/CQ1931195803200651264.html
整租·佳华世纪新城C区 3室1厅 错层 南,3300 元/月,132.00㎡,渝北-嘉州-佳华世纪新城C区,https://cq.lianjia.com/zufang/CQ1948741197392510976.html
合租·南方上格林青海苑 5居室 南卧,900 元/月,江北-五里店-南方上格林青海苑,精选,https://cq.lianjia.com/zufang/CQ1923231542692282368.html
整租·富力城春天里 1室1厅 南,1500 元/月,65.00㎡,沙坪坝-大学城-富力城春天里,https://cq.lianjia.com/zufang/CQ1952346754527526912.html
整租·金科天宸十二街区 1室1厅 东,1600 元/月,55.00㎡,沙坪坝-西永-金科天宸十二街区,https://cq.lianjia.com/zufang/CQ1951881246510415872.html
整租·绿地新里樱园 3室2厅 东南,2600 元/月,99.00㎡,江北-海尔路-绿地新里樱园,https://cq.lianjia.com/zufang/CQ1951962211404480512.html
合租·世茂璀璨天城晏旸 4居室 南卧,745 元/月,渝北-汽博中心-世茂璀璨天城晏旸,精选,https://cq.lianjia.com/zufang/CQ1863169367701716992.html
整租·富力城时光里 3室2厅 南,1900 元/月,106.00㎡,沙坪坝-大学城-富力城时光里,https://cq.lianjia.com/zufang/CQ1794229353362489344.html
合租·保利高尔夫豪园 5居室 南卧,545 元/月,渝北-汽博中心-保利高尔夫豪园,精选,https://cq.lianjia.com/zufang/CQ1869241603651010560.html
整租·雍江翠璟 3室2厅 西北,4000 元/月,119.20㎡,渝中-化龙桥-雍江翠璟,https://cq.lianjia.com/zufang/CQ1949758408315895808.html
合租·和泓江山国际 4居室 东卧,545 元/月,渝中-大坪-和泓江山国际,精选,https://cq.lianjia.com/zufang/CQ1869978185546858496.html
整租·金科西城大院 3室1厅 南,1800 元/月,66.00㎡,九龙坡-巴国城-金科西城大院,https://cq.lianjia.com/zufang/CQ1922483117470253056.html
合租·美利山公园城市 3居室 南卧,660 元/月,渝北-鸳鸯-美利山公园城市,精选,https://cq.lianjia.com/zufang/CQ1927407339506237440.html
整租·汇祥好莱坞 2室1厅 东南,1700 元/月,80.58㎡,渝北-中央公园东区-汇祥好莱坞,https://cq.lianjia.com/zufang/CQ1955484131240443904.html
合租·金山名都 5居室 南卧,545 元/月,渝北-汽博中心-金山名都,精选,https://cq.lianjia.com/zufang/CQ1923614470614024192.html
整租·海德福苑B区 4室2厅 错层 南,1500 元/月,169.70㎡,渝北-回兴-海德福苑B区,https://cq.lianjia.com/zufang/CQ1894321274360954880.html
整租·汇祥好莱坞 2室1厅 东南,1700 元/月,80.58㎡,渝北-中央公园东区-汇祥好莱坞,https://cq.lianjia.com/zufang/CQ1955484131240443904.html
整租·雍江翠璟 3室2厅 西北,4000 元/月,119.20㎡,渝中-化龙桥-雍江翠璟,https://cq.lianjia.com/zufang/CQ1949758408315895808.html
整租·日月光解放碑1号 2室2厅 西南,3500 元/月,83.52㎡,渝中-解放碑-日月光解放碑1号,https://cq.lianjia.com/zufang/CQ1954759111635632128.html
整租·御林 3室2厅 南,1800 元/月,90.00㎡,沙坪坝-西永-御林,https://cq.lianjia.com/zufang/CQ1947232791443800064.html
整租·万科四季都会微澜 3室2厅 东,1500 元/月,107.00㎡,北碚-水土-万科四季都会微澜,https://cq.lianjia.com/zufang/CQ1836980267495981056.html
整租·阳光汇 1室1厅 东,1400 元/月,46.67㎡,南岸-南坪-阳光汇,https://cq.lianjia.com/zufang/CQ1955501769538666496.html
整租·建筑二村 2室1厅 南,900 元/月,55.44㎡,九龙坡-石坪桥-建筑二村,https://cq.lianjia.com/zufang/CQ1941401897772515328.html
整租·云湖绿岛 2室1厅 南,1100 元/月,60.00㎡,九龙坡-蟠龙-云湖绿岛,https://cq.lianjia.com/zufang/CQ1955514286545567744.html
整租·绿地保税中心二期 1室1厅 东南,1250 元/月,39.00㎡,江北-海尔路-绿地保税中心二期,https://cq.lianjia.com/zufang/CQ1953684519387136000.html
整租·东原D7一期 2室1厅 东,1100 元/月,78.50㎡,江北-大石坝-东原D7一期,https://cq.lianjia.com/zufang/CQ1955469290903699456.html
整租·融创嘉德领馆二期 2室1厅 南,1900 元/月,60.00㎡,渝北-中央公园东区-融创嘉德领馆二期,https://cq.lianjia.com/zufang/CQ1948969149459857408.html
整租·华宇老街印象 3室2厅 东南,1500 元/月,91.00㎡,九龙坡-石桥铺-华宇老街印象,https://cq.lianjia.com/zufang/CQ1954117553819222016.html
整租·万达广场锋邸 3室2厅 南,2400 元/月,91.79㎡,南岸-南坪-万达广场锋邸,https://cq.lianjia.com/zufang/CQ1834558102788112384.html
整租·万科金域学府繁花里 3室2厅 南,2100 元/月,107.00㎡,南岸-七公里-万科金域学府繁花里,https://cq.lianjia.com/zufang/CQ1842513861542936576.html
整租·富力城时光里 3室2厅 南,1800 元/月,105.00㎡,沙坪坝-大学城-富力城时光里,https://cq.lianjia.com/zufang/CQ1783774017832878080.html
整租·富力城新壹站 4室1厅 南,2200 元/月,108.00㎡,沙坪坝-大学城-富力城新壹站,https://cq.lianjia.com/zufang/CQ1937745327859695616.html
整租·恒大同景国际城 3室1厅 东南,2000 元/月,112.00㎡,南岸-茶园新区-恒大同景国际城,https://cq.lianjia.com/zufang/CQ1954380090221527040.html
整租·立源地 2室2厅 东南,1700 元/月,98.00㎡,渝中-大坪-立源地,https://cq.lianjia.com/zufang/CQ1913575412701593600.html
整租·双福国际农贸城兴茂北座 3室2厅 南,1200 元/月,87.00㎡,江津-双福新区-双福国际农贸城兴茂北座,https://cq.lianjia.com/zufang/CQ1941444946401689600.html
整租·金科天宸11街区 1室0厅 跃层 西南,850 元/月,43.00㎡,沙坪坝-西永-金科天宸11街区,https://cq.lianjia.com/zufang/CQ1946132279675846656.html
整租·巴国公馆 3室2厅 东,2200 元/月,125.00㎡,九龙坡-巴国城-巴国公馆,https://cq.lianjia.com/zufang/CQ1798664371899990016.html
整租·奥林匹克花园新亚洲 3室2厅 东,2400 元/月,92.00㎡,渝北-汽博中心-奥林匹克花园新亚洲,https://cq.lianjia.com/zufang/CQ1886738314841554944.html
整租·巴南府邸 3室2厅 东,1300 元/月,101.00㎡,巴南-龙洲湾-巴南府邸,https://cq.lianjia.com/zufang/CQ1889615471372664832.html
整租·长寿金科阳光小镇 3室2厅 东北,1800 元/月,99.00㎡,长寿-古镇片区-长寿金科阳光小镇,https://cq.lianjia.com/zufang/CQ1954844515298705408.html
整租·荣锦龙汇苑 3室2厅 东,2500 元/月,120.00㎡,渝北-新牌坊-荣锦龙汇苑,https://cq.lianjia.com/zufang/CQ1903678551119364096.html
整租·渝复竹芸山水 5室2厅 东南,3000 元/月,203.00㎡,北碚-城北新区-渝复竹芸山水,https://cq.lianjia.com/zufang/CQ1935651162359332864.html
整租·约克郡禧悦 3室2厅 南,4000 元/月,122.39㎡,渝北-照母山-约克郡禧悦,https://cq.lianjia.com/zufang/CQ1954052926477434880.html
整租·金科天宸十二街区 1室1厅 东南/南,1100 元/月,31.59㎡,沙坪坝-西永-金科天宸十二街区,https://cq.lianjia.com/zufang/CQ1947945004190138368.html
整租·建工二村 3室1厅 东南,2000 元/月,90.00㎡,九龙坡-杨家坪-建工二村,https://cq.lianjia.com/zufang/CQ1955095733824651264.html
整租·建工二村 3室1厅 东南,2000 元/月,90.00㎡,九龙坡-杨家坪-建工二村,https://cq.lianjia.com/zufang/CQ1955095733824651264.html
合租·和泓江山国际 1居室 东南卧,650 元/月,30.00㎡,渝中-大坪-和泓江山国际,https://cq.lianjia.com/zufang/CQ1945395895788896256.html
整租·康居雅苑 2室1厅 东,1400 元/月,84.00㎡,巴南-龙洲湾-康居雅苑,https://cq.lianjia.com/zufang/CQ1941479760743890944.html
整租·茂业大厦 1室1厅 南,4500 元/月,105.00㎡,江北-观音桥-茂业大厦,https://cq.lianjia.com/zufang/CQ1926158833462280192.html
整租·融创隐溪晓院二期 3室1厅 东,3000 元/月,95.15㎡,渝北-中央公园-融创隐溪晓院二期,https://cq.lianjia.com/zufang/CQ1947576920501649408.html
合租·万科金域蓝湾 1居室 东卧,800 元/月,20.00㎡,渝北-汽博中心-万科金域蓝湾,https://cq.lianjia.com/zufang/CQ1917141284003250176.html
整租·云科时代小区 3室1厅 东,2500 元/月,90.00㎡,渝中-大坪-云科时代小区,https://cq.lianjia.com/zufang/CQ1945741066472783872.html
整租·中海春华尚城 3室2厅 南,1500 元/月,88.00㎡,渝北-中央公园东区-中海春华尚城,https://cq.lianjia.com/zufang/CQ1942887234147450880.html
整租·罗宾森广场尚城华府 3室2厅 东,2000 元/月,130.00㎡,渝中-解放碑-罗宾森广场尚城华府,https://cq.lianjia.com/zufang/CQ1949798508223528960.html
整租·泰和苑 2室1厅 南,1400 元/月,70.00㎡,渝北-两路-泰和苑,https://cq.lianjia.com/zufang/CQ1952231747630399488.html
整租·龙湖天际 1室0厅 南,1300 元/月,37.00㎡,渝北-中央公园-龙湖天际,https://cq.lianjia.com/zufang/CQ1942106053730631680.html
整租·远洋朗基枫桦四季 4室2厅 南/北,800 元/月,127.50㎡,沙坪坝-大学城-远洋朗基枫桦四季,https://cq.lianjia.com/zufang/CQ1838434723840393216.html
整租·远洋朗基枫桦四季 4室2厅 南/北,1500 元/月,127.09㎡,沙坪坝-大学城-远洋朗基枫桦四季,https://cq.lianjia.com/zufang/CQ1718630829313228800.html
整租·天辰美苑 2室2厅 东南,1200 元/月,82.00㎡,大渡口-九宫庙-天辰美苑,https://cq.lianjia.com/zufang/CQ1910201336650006528.html
整租·协信城立方一期 3室2厅 南,1700 元/月,83.00㎡,沙坪坝-大学城-协信城立方一期,https://cq.lianjia.com/zufang/CQ1932729672378875904.html
整租·悦溪正荣府 3室1厅 南,1600 元/月,98.67㎡,北碚-水土-悦溪正荣府,https://cq.lianjia.com/zufang/CQ1949674899710672896.html
整租·恒大新城 2室1厅 南,1200 元/月,77.00㎡,巴南-鱼洞-恒大新城,https://cq.lianjia.com/zufang/CQ1914200575851888640.html
整租·融景城郦苑 4室2厅 南,3700 元/月,174.00㎡,江北-五里店-融景城郦苑,https://cq.lianjia.com/zufang/CQ1955201944708448256.html
整租·财信渝中城 3室1厅 西,2000 元/月,79.79㎡,渝中-解放碑-财信渝中城,https://cq.lianjia.com/zufang/CQ1871400666350485504.html
整租·万科锦程 2室2厅 东,2200 元/月,72.00㎡,渝中-大坪-万科锦程,https://cq.lianjia.com/zufang/CQ1955562076751527936.html
整租·金阳第一农场大学城 3室1厅 东南,600 元/月,80.00㎡,沙坪坝-大学城-金阳第一农场大学城,https://cq.lianjia.com/zufang/CQ1943969894882082816.html
整租·和记黄埔御峰一期 3室2厅 东南,1000 元/月,120.89㎡,南岸-南坪-和记黄埔御峰一期,https://cq.lianjia.com/zufang/CQ2852214255955222528.html
整租·康居苑 1室1厅 西北,1000 元/月,43.34㎡,沙坪坝-凤天路-康居苑,https://cq.lianjia.com/zufang/CQ1883430053878956032.html
